icu_id,hospital_id,icu_type
432,109,Med-Surg ICU
425,10,Cardiac ICU
434,70,MICU
451,70,Neuro ICU
464,70,CCU-CTICU
445,70,Med-Surg ICU
470,160,Med-Surg ICU
477,62,Cardiac ICU
467,62,CTICU
482,16,MICU
471,199,CTICU
480,54,SICU
468,199,CTICU
479,54,CTICU
481,62,MICU
474,54,SICU
491,100,Med-Surg ICU
498,186,Med-Surg ICU
483,20,Med-Surg ICU
486,107,Med-Surg ICU
489,14,Med-Surg ICU
490,100,Med-Surg ICU
495,100,Med-Surg ICU
499,132,Med-Surg ICU
493,87,Med-Surg ICU
487,100,MICU
497,53,Med-Surg ICU
494,100,Med-Surg ICU
504,21,SICU
512,21,CCU-CTICU
508,21,Med-Surg ICU
514,99,Med-Surg ICU
505,71,Med-Surg ICU
513,21,MICU
506,182,MICU
523,24,Med-Surg ICU
516,200,Med-Surg ICU
543,189,Med-Surg ICU
538,60,Med-Surg ICU
517,24,CCU-CTICU
534,84,CTICU
547,189,Med-Surg ICU
531,84,Cardiac ICU
550,26,Neuro ICU
549,133,CTICU
561,133,Med-Surg ICU
556,26,Med-Surg ICU
559,133,Med-Surg ICU
552,26,Cardiac ICU
608,27,Med-Surg ICU
597,8,Med-Surg ICU
601,194,MICU
609,194,SICU
602,111,Med-Surg ICU
594,194,Neuro ICU
607,194,Cardiac ICU
603,194,Med-Surg ICU
622,176,CCU-CTICU
626,187,Cardiac ICU
611,176,SICU
628,176,MICU
616,39,Neuro ICU
623,176,Neuro ICU
613,101,Med-Surg ICU
619,39,CCU-CTICU
620,80,Med-Surg ICU
625,90,Med-Surg ICU
646,19,Neuro ICU
653,19,Med-Surg ICU
656,94,Med-Surg ICU
657,19,CCU-CTICU
669,50,Med-Surg ICU
647,192,Med-Surg ICU
642,43,Med-Surg ICU
664,19,SICU
632,145,Cardiac ICU
666,180,Med-Surg ICU
650,40,Cardiac ICU
634,40,CTICU
636,40,SICU
641,9,Med-Surg ICU
654,93,MICU
711,185,CCU-CTICU
709,159,Med-Surg ICU
675,166,SICU
697,157,SICU
683,64,Med-Surg ICU
696,125,Med-Surg ICU
707,92,Med-Surg ICU
687,185,Med-Surg ICU
700,166,MICU
694,13,Med-Surg ICU
678,157,MICU
708,13,Med-Surg ICU
685,37,Med-Surg ICU
684,139,Cardiac ICU
705,135,Med-Surg ICU
679,185,Neuro ICU
698,51,MICU
677,157,Med-Surg ICU
680,13,Med-Surg ICU
775,18,Med-Surg ICU
766,18,Med-Surg ICU
804,18,Med-Surg ICU
814,181,Med-Surg ICU
836,158,Med-Surg ICU
829,196,Med-Surg ICU
809,196,CSICU
822,196,Med-Surg ICU
794,47,CTICU
798,103,Med-Surg ICU
831,196,Med-Surg ICU
830,197,Med-Surg ICU
772,196,Med-Surg ICU
832,47,Med-Surg ICU
780,196,Med-Surg ICU
786,47,Cardiac ICU
823,38,Med-Surg ICU
855,188,CCU-CTICU
876,2,Med-Surg ICU
888,49,Med-Surg ICU
874,142,Med-Surg ICU
895,35,Med-Surg ICU
840,188,MICU
889,188,Neuro ICU
841,188,SICU
878,15,Med-Surg ICU
862,146,Cardiac ICU
869,146,Med-Surg ICU
852,188,Med-Surg ICU
904,29,Med-Surg ICU
905,36,Med-Surg ICU
903,167,Med-Surg ICU
927,30,Cardiac ICU
921,30,Med-Surg ICU
907,184,Med-Surg ICU
926,104,Med-Surg ICU
906,30,Neuro ICU
925,121,Med-Surg ICU
908,195,Med-Surg ICU
917,3,Med-Surg ICU
915,6,Med-Surg ICU
918,6,Med-Surg ICU
909,183,Med-Surg ICU
922,66,Med-Surg ICU
